filter,level,params,original_count,filtered_count,removed_percent,precision,recall,f1,tp,fp,fn,tn,mean_knn_orig,std_knn_orig,mean_knn_filt,std_knn_filt,knn_change_percent
SOR,soft,"{'nb_neighbors': 20, 'std_ratio': 2.5}",276580,273859,0.9838021548918885,0.9786843072399853,0.051786165723508935,0.09836731678486997,2663,58,48760,225099,0.008048296318054248,0.0028753629178134006,0.007925689604882782,0.0015214017158201186,-1.5233871657586624
SOR,moderate,"{'nb_neighbors': 20, 'std_ratio': 2.0}",276580,272443,1.4957697592016816,0.949238578680203,0.0763666063823581,0.14136069114470842,3927,210,47496,224947,0.008048296318054248,0.0028753629178134006,0.007903200181681301,0.0017043373593291714,-1.8028180205972473
SOR,aggressive,"{'nb_neighbors': 20, 'std_ratio': 1.5}",276580,269783,2.457516812495486,0.8789171693394144,0.11617369659490889,0.20522157334249397,5974,823,45449,224334,0.008048296318054248,0.0028753629178134006,0.007866260835917497,0.001519868299814175,-2.261789016495357
ROR,soft,"{'radius': 0.025, 'min_neighbors': 3}",276580,276396,0.06652686383686879,1.0,0.003578165412364117,0.0071308155870327666,184,0,51239,225157,0.008048296318054248,0.0028753629178134006,0.008023767607810739,0.0026832729618796584,-0.3047689756214051
ROR,moderate,"{'radius': 0.02, 'min_neighbors': 5}",276580,275625,0.34528888567503246,0.9821989528795811,0.018240864982595337,0.03581656420634618,938,17,50485,225140,0.008048296318054248,0.0028753629178134006,0.007975626121729631,0.0018621756955994973,-0.9029264511745185
ROR,aggressive,"{'radius': 0.015, 'min_neighbors': 8}",276580,268373,2.9673150625497136,0.7748263677348605,0.12366061878925773,0.2132819050813349,6359,1848,45064,223309,0.008048296318054248,0.0028753629178134006,0.00786705475527281,0.0017247930002758012,-2.251924576569952
LOF,soft,"{'n_neighbors': 20, 'contamination': 0.02}",276580,271048,2.0001446236170395,0.631055676066522,0.06788791007914746,0.12258800807655167,3491,2041,47932,223116,0.008048296318054248,0.0028753629178134006,0.007925823718048014,0.0015334200734223996,-1.5217208110429394
LOF,moderate,"{'n_neighbors': 20, 'contamination': 0.04}",276580,265517,3.9999276881914847,0.501039501039501,0.10779223304746903,0.17741574112601224,5543,5520,45880,219637,0.008048296318054248,0.0028753629178134006,0.007878594524226783,0.0014498569417002638,-2.1085430645338383
LOF,aggressive,"{'n_neighbors': 20, 'contamination': 0.08}",276580,254453,8.000216935425552,0.424097256745153,0.18248643603056997,0.25517335146159076,9384,12743,42039,212414,0.008048296318054248,0.0028753629178134006,0.007828264121608502,0.001379659344389501,-2.733897805827062
DSOR,soft,"{'k': 20, 'range_multiplier': 8.0, 'std_ratio': 2.5}",276580,270754,2.1064429821389785,0.6162032269138346,0.0698131186434086,0.12541703785218958,3590,2236,47833,222921,0.008048296318054248,0.0028753629178134006,0.007913139644978619,0.0017224149036837821,-1.6793202900897228
DSOR,moderate,"{'k': 20, 'range_multiplier': 8.0, 'std_ratio': 2.0}",276580,268052,3.0833755152216313,0.5447936210131332,0.09034867666219396,0.15499324448299445,4646,3882,46777,221275,0.008048296318054248,0.0028753629178134006,0.007880195388166818,0.0014097778537485745,-2.088652346339928
DSOR,aggressive,"{'k': 20, 'range_multiplier': 8.0, 'std_ratio': 1.5}",276580,263877,4.592884518041796,0.49326930646304024,0.12185208953192152,0.19542775161400994,6266,6437,45157,218720,0.008048296318054248,0.0028753629178134006,0.007843104367520079,0.0013442345130963817,-2.5495079011178388
PCA,soft,"{'k': 30, 'percentile': 99}",276580,273814,1.0000723118085197,0.37129428778018797,0.019971608035314937,0.03790437173596117,1027,1739,50396,223418,0.008048296318054248,0.0028753629178134006,0.008076480815603998,0.0028882680433665016,0.35019209576722043
PCA,moderate,"{'k': 30, 'percentile': 97}",276580,268282,3.0002169354255592,0.38900939985538685,0.06277346712560528,0.10810267745014317,3228,5070,48195,220087,0.008048296318054248,0.0028753629178134006,0.008128381971718225,0.0029221916976756883,0.9950634332924158
PCA,aggressive,"{'k': 30, 'percentile': 95}",276580,262751,5.000000000000004,0.3940993564249042,0.10598370379013282,0.16704468828541652,5450,8379,45973,216778,0.008048296318054248,0.0028753629178134006,0.008175969114846967,0.0029626599938249146,1.5863332032932067
