filter,level,params,original_count,filtered_count,removed_percent,precision,recall,f1,tp,fp,fn,tn,mean_knn_orig,std_knn_orig,mean_knn_filt,std_knn_filt,knn_change_percent
SOR,soft,"{'nb_neighbors': 20, 'std_ratio': 2.5}",752647,749412,0.42981636809819035,1.0,0.10035052889536868,0.1823973838520523,3235,0,29002,720410,0.009436596755378118,0.0058975158180769325,0.009325845994141156,0.01040277609954484,-1.1736303257193106
SOR,moderate,"{'nb_neighbors': 20, 'std_ratio': 2.0}",752647,747018,0.7478937669319063,0.9811689465269142,0.1713248751434687,0.29171288226905406,5523,106,26714,720304,0.009436596755378118,0.0058975158180769325,0.009271182917293955,0.0023844493355296547,-1.7528971765153536
SOR,aggressive,"{'nb_neighbors': 20, 'std_ratio': 1.5}",752647,741545,1.475060685819518,0.6989731579895514,0.24071718832397557,0.3581070167747295,7760,3342,24477,717068,0.009436596755378118,0.0058975158180769325,0.009204062837156208,0.0022265477385939995,-2.464171398331543
ROR,soft,"{'radius': 0.025, 'min_neighbors': 3}",752647,751104,0.20500978546383886,0.9980557355800389,0.04777119459006732,0.0911782119597395,1540,3,30697,720407,0.009436596755378118,0.0058975158180769325,0.00935549985204649,0.0031637261781300306,-0.8593871862269482
ROR,moderate,"{'radius': 0.02, 'min_neighbors': 5}",752647,744562,1.0742087592191307,0.7223252937538652,0.181158296367528,0.2896681712216656,5840,2245,26397,718165,0.009436596755378118,0.0058975158180769325,0.009270409996666926,0.005314079079483399,-1.7610878478671685
ROR,aggressive,"{'radius': 0.015, 'min_neighbors': 8}",752647,666643,11.426870764116515,0.13645876935956466,0.3640537270837857,0.1985098231577879,11736,74268,20501,646142,0.009436596755378118,0.0058975158180769325,0.00883077256150085,0.002770406108099448,-6.419943646866079
LOF,soft,"{'n_neighbors': 20, 'contamination': 0.02}",752647,737594,2.000007971864637,0.6041320666976683,0.28209821013121567,0.3846056248678368,9094,5959,23143,714451,0.009436596755378118,0.0058975158180769325,0.009219212062652603,0.002426706960816648,-2.3036344389901258
LOF,moderate,"{'n_neighbors': 20, 'contamination': 0.04}",752647,722541,4.000015943729263,0.3832458646117053,0.35791171635077706,0.3701458062653385,11538,18568,20699,701842,0.009436596755378118,0.0058975158180769325,0.009152704443108482,0.0023100462344360904,-3.0084183909611277
LOF,aggressive,"{'n_neighbors': 20, 'contamination': 0.08}",752647,692435,8.000031887458526,0.23687969175579618,0.44244191457021437,0.3085593137838159,14263,45949,17974,674461,0.009436596755378118,0.0058975158180769325,0.009082102855244818,0.0022376882935317946,-3.7565862918881927
DSOR,soft,"{'k': 20, 'range_multiplier': 8.0, 'std_ratio': 2.5}",752647,746155,0.8625557532282779,0.8706099815157117,0.1753264881967925,0.29187430607555065,5652,840,26585,719570,0.009436596755378118,0.0058975158180769325,0.009272805166504998,0.0025612663696717953,-1.7357061355808387
DSOR,moderate,"{'k': 20, 'range_multiplier': 8.0, 'std_ratio': 2.0}",752647,741419,1.4918016015476043,0.6821339508371927,0.2375841424450166,0.352421488554009,7659,3569,24578,716841,0.009436596755378118,0.0058975158180769325,0.00922037328611183,0.002830721398598509,-2.291328906716891
DSOR,aggressive,"{'k': 20, 'range_multiplier': 8.0, 'std_ratio': 1.5}",752647,732076,2.733153789226561,0.46725973457780373,0.2981667028569656,0.3640357521587638,9612,10959,22625,709451,0.009436596755378118,0.0058975158180769325,0.00913276953622485,0.0022342869798331003,-3.2196694107980233
PCA,soft,"{'k': 30, 'percentile': 99}",752647,745120,1.0000704181375886,0.2808555865550684,0.06557682166454695,0.10632733125440096,2114,5413,30123,714997,0.009436596755378118,0.0058975158180769325,0.009476472465979307,0.005920457369743245,0.4225645286629734
PCA,moderate,"{'k': 30, 'percentile': 97}",752647,730067,3.0000783900022143,0.29021257750221435,0.20327573905760463,0.239086414798329,6553,16027,25684,704383,0.009436596755378118,0.0058975158180769325,0.009540454035138653,0.005978963311690987,1.1005798218658045
PCA,aggressive,"{'k': 30, 'percentile': 95}",752647,715014,5.000086361866851,0.27991390534902877,0.32676737909855136,0.30153141548590234,10534,27099,21703,693311,0.009436596755378118,0.0058975158180769325,0.009585822116853378,0.006043202597189211,1.581347230824649
